City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
318,Inhambane,MZ,80.6,scattered clouds,-23.865,35.3833,Oceano
322,Richards Bay,ZA,78.17,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
326,Acarau,BR,81.16,broken clouds,-2.8856,-40.12,castelo pizzaria
328,Christiana,ZA,77.81,clear sky,-27.914,25.1611,At-Neli Guesthouse
334,Salinopolis,BR,79.65,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
338,Makakilo City,US,77.0,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
360,Ahuimanu,US,77.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
366,Kuching,MY,86.0,broken clouds,1.55,110.3333,Hilton Kuching
371,Maragogi,BR,76.33,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
375,Port Moresby,PG,89.6,light rain,-9.4431,147.1797,Lamana Hotel
378,Souillac,MU,82.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
379,Teluk Nibung,ID,83.39,scattered clouds,3.0010000000000003,99.8164,Hotel Assyifa
380,San Policarpo,PH,78.71,overcast clouds,12.1791,125.5072,JM Lodge
384,Faanui,PF,81.5,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
388,Kalmunai,LK,83.08,light rain,7.4167,81.8167,VS Villa
398,Sambava,MG,83.12,few clouds,-14.2667,50.1667,Melrose
400,Soe,ID,77.52,light rain,-9.8607,124.28399999999999,Dena Hotel
403,Punta Cardon,VE,78.24,broken clouds,11.6581,-70.215,Bambuda hotel
408,Tuban,ID,79.99,overcast clouds,-6.8976,112.0649,Hotel Mustika
415,Puerto Quijarro,BO,76.42,broken clouds,-17.7833,-57.7667,Hotel palance
417,Buluang,PH,77.32,overcast clouds,13.3068,123.3425,Enon Beach Resort
421,Muisne,EC,76.06,overcast clouds,0.6,-80.0333,Quinta Samay
436,Finschhafen,PG,86.04,overcast clouds,-6.6024,147.8681,Cossam Guest House
440,Buala,SB,79.43,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
441,Eyl,SO,77.09,clear sky,7.9803,49.8164,Amiin Hotel
446,Mitsamiouli,KM,82.17,light rain,-11.3847,43.2844,Foyer ADM
452,Angra Dos Reis,BR,82.4,broken clouds,-23.0067,-44.3181,Mercure Angra dos Reis
456,Maroantsetra,MG,80.96,few clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
458,Jaque,PA,76.06,broken clouds,7.5175,-78.1703,Imbu Bua Lodge
460,Prieska,ZA,80.71,few clouds,-29.6641,22.7474,Avenue GuestHouse
462,Noumea,NC,87.8,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
471,Rangapara,IN,77.56,clear sky,26.8167,92.65,Bidhan
475,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
488,Phan Thiet,VN,83.64,scattered clouds,10.9333,108.1,Hotel Saigon-PT
492,Cairns,AU,88.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
493,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Lua Mansa Pousada
502,Padang,ID,87.39,overcast clouds,-0.9492,100.3543,Mercure Padang
504,Nosy Varika,MG,82.42,light rain,-20.5833,48.5333,Hotel Volazara
507,Witu,KE,80.6,haze,-2.3889,40.4382,New City Guest House
508,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
513,Chipurupalle,IN,85.41,scattered clouds,18.3,83.5667,BC Hostel
515,Dzaoudzi,YT,84.2,clear sky,-12.7887,45.2699,Le Rocher
521,Denpasar,ID,80.6,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
531,Port-Gentil,GA,75.2,light rain,-0.7193,8.7815,Fengshui Residence
539,Bandarbeyla,SO,75.4,clear sky,9.4942,50.8122,JABIR HOTEL
542,Bubaque,GW,78.26,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
547,Narsimhapur,IN,80.78,broken clouds,22.95,79.2,STARiHOTELS Narsinghpur
549,Pontianak,ID,84.2,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
558,Winneba,GH,77.0,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
564,Elumalai,IN,77.0,light rain,9.8667,77.7,ANBU Finance
570,Limbe,CM,77.0,scattered clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
571,Vao,NC,79.27,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
