City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sur,OM,2021-01-04 02:45:51,22.57,59.53,67.33,41,0,16.42
70,Castro,BR,2021-01-04 02:45:51,-24.79,-50.01,58.01,92,95,10.29
71,Pombia,IT,2021-01-04 02:45:51,45.65,8.63,41.0,93,90,10.29
72,Sorland,NO,2021-01-04 02:45:52,67.67,12.69,42.03,75,100,22.95
73,Ribeira Grande,PT,2021-01-04 02:45:52,38.52,-28.7,62.92,83,100,20.89
74,Qui Nhon,VN,2021-01-04 02:45:52,13.77,109.23,74.01,89,97,13.69
75,Ushuaia,AR,2021-01-04 02:42:38,-54.8,-68.3,44.6,65,40,9.17
76,Storslett,NO,2021-01-04 02:45:52,69.77,21.02,33.71,87,100,10.18
77,Itaituba,BR,2021-01-04 02:45:53,-4.28,-55.98,74.34,96,100,0.85
78,Jamestown,US,2021-01-04 02:40:54,42.1,-79.24,34.0,98,90,3.36
79,Qaanaaq,GL,2021-01-04 02:45:53,77.48,-69.36,6.01,86,100,0.92
80,Inhambane,MZ,2021-01-04 02:45:53,-23.86,35.38,76.71,80,60,3.36
81,Orbetello,IT,2021-01-04 02:45:53,42.44,11.22,41.0,86,40,5.82
82,Victoria,HK,2021-01-04 02:41:59,22.29,114.16,66.0,52,47,1.01
83,Almansa,ES,2021-01-04 02:45:54,38.87,-1.1,36.0,74,75,9.17
84,Dikson,RU,2021-01-04 02:45:54,73.51,80.55,-2.6,85,42,15.99
85,Kodiak,US,2021-01-04 02:42:05,57.79,-152.41,23.0,79,20,4.7
86,Yar-Sale,RU,2021-01-04 02:45:55,66.83,70.83,-19.68,87,60,13.31
87,Lagoa,PT,2021-01-04 02:45:55,39.05,-27.98,62.83,85,100,30.44
88,Batsfjord,NO,2021-01-04 02:45:55,70.63,29.72,29.48,94,93,10.16
89,Uniontown,US,2021-01-04 02:45:55,39.9,-79.72,37.99,65,100,4.5
90,Salinopolis,BR,2021-01-04 02:45:55,-0.61,-47.36,78.82,85,91,11.07
91,Doume,CM,2021-01-04 02:45:56,4.23,13.45,65.19,67,94,2.53
92,Boca Do Acre,BR,2021-01-04 02:45:13,-8.75,-67.4,74.79,91,98,2.71
93,Goulburn,AU,2021-01-04 02:42:28,-34.75,149.72,64.99,74,100,8.01
94,Mandera,KE,2021-01-04 02:45:57,3.94,41.87,73.9,53,69,5.32
95,Sabha,LY,2021-01-04 02:45:57,27.04,14.43,57.56,51,21,10.29
96,Bluff,NZ,2021-01-04 02:45:57,-46.6,168.33,62.01,71,63,11.01
97,Kavieng,PG,2021-01-04 02:45:57,-2.57,150.8,86.11,67,90,15.39
98,Udachnyy,RU,2021-01-04 02:45:58,66.42,112.4,-40.0,58,75,6.71
99,Macusani,PE,2021-01-04 02:45:58,-14.08,-70.43,40.28,86,100,3.36
100,Cape Town,ZA,2021-01-04 02:45:13,-33.93,18.42,69.01,82,0,9.17
101,Nizhniy Tsasuchey,RU,2021-01-04 02:45:58,50.52,115.13,-3.46,76,15,10.69
102,Susehri,TR,2021-01-04 02:45:58,40.16,38.09,33.87,83,49,2.64
103,Hilo,US,2021-01-04 02:45:59,19.73,-155.09,80.6,61,1,9.17
104,Yellowknife,CA,2021-01-04 02:43:28,62.46,-114.35,-5.01,76,90,2.24
105,Port Alfred,ZA,2021-01-04 02:43:41,-33.59,26.89,71.01,94,45,3.44
106,Souillac,MU,2021-01-04 02:45:59,-20.52,57.52,73.4,94,75,8.05
107,Hamilton,US,2021-01-04 02:43:29,39.18,-84.53,35.6,90,90,3.36
108,Te Anau,NZ,2021-01-04 02:46:00,-45.42,167.72,64.65,61,49,5.79
109,Kapoeta,SS,2021-01-04 02:46:00,4.77,33.59,79.03,49,16,13.96
110,Tigil,RU,2021-01-04 02:43:16,57.8,158.67,7.9,95,99,1.97
111,Gubkinskiy,RU,2021-01-04 02:46:01,64.43,76.5,-22.5,86,0,10.18
112,Kambove,CD,2021-01-04 02:46:01,-10.88,26.6,59.45,100,73,2.26
113,Aban,RU,2021-01-04 02:46:01,56.67,96.06,-14.46,87,100,12.03
114,Jumla,NP,2021-01-04 02:46:02,29.27,82.18,50.02,44,99,1.97
115,Damara,CF,2021-01-04 02:46:02,4.96,18.7,67.44,77,100,0.81
116,Eenhana,NA,2021-01-04 02:46:02,-17.47,16.33,77.0,61,100,8.05
117,Salalah,OM,2021-01-04 02:46:03,17.02,54.09,68.0,37,0,5.82
